imagePath	title	description	price
https://i.imgur.com/lnR1YSI.jpg	REDESS Beanie Hat for Men and Women Winter Warm Hats Knit Slouchy Thick Skull Cap	COMFORTABLE TO WEAR: This winter warm hat for men is made of high quality materials and well designed to fit men. With adjustable rubber band built inside perfect adjustability is available.	19.99
https://i.imgur.com/WoyMZUw.jpg	Lisianthus Women Belt Buckle Fedora Hat	Breathable, lightweight and comfortable for all-day wear	16.45
https://i.imgur.com/jrsvwuZ.jpg	KBETHOS Lit Patch Finesse Self Made Dad Hat Baseball Cap Polo Style Unconstructed Cotton Adjustable	ADJUSTABLE BUCKLE CLOSURE: One Size Fits Most, Comfortable Everyday Fit. Use the convenient metal closure to custom fit the baseball cap to your head and ensure maximum comfort and a secure fit at all times. The unisex design makes it suitably perfect for both men and women.	13.99
https://i.imgur.com/GZYVYsi.jpg	Prevue Pet Products Stainless Steel Playtop Bird Cage	ADVANCED TECHNOLOGY: Columbia Unisex Bora Bora Booney fishing hat features our signature wicking fabric with sweat-wicking capabilities and UPF 50 sun protection technology that helps shield you from harmful UVA and UVB rays.	24.45
https://i.imgur.com/VaHKJH2.jpg	2 Pack Men's Cotton Flat Cap Ivy Gatsby Newsboy Hunting Hat	Great Material: This newboys hat is made of 100% cotton, and it is more breathable and comfortable, this flat ivy gatsby newsboy hat is very easy to fix. You never should worry it fall on the ground easily.	14.99
https://i.imgur.com/yTlYpub.jpg	Pococina Upgraded 4.2 Bluetooth Beanie Music Hat Winter Knit Hat Cap Wireless Headphone Musical Speaker Beanie Hat as Christmas Birthday Gifts for Men Women Teen Girls Boys, Built-in Mic - 012 Gray	🎁 BUILT-IN WIRELESS HEADPHONES WITH MIC: Equipped with built-in wireless headphones. Thanks to the V4.2 BT technology, you can easily and quickly connect the wireless headset to your BT devices. 3-button control panel makes the wireless earphones easy to switch the songs and control the volume	14.99
https://i.imgur.com/GNkWDOG.jpg	adidas Women's Originals Relaxed Fit Strapback Cap	68% Acrylic/20% Cotton/12% Wool	26.94
https://i.imgur.com/6BRA4M0.jpg	Jemis Skullies Beanies Thin Bonnet Cap Autumn Casual Beanies Hat	The Grid Turban Hats is the perfect cold weather anf Fall companion.The Women Scarves Beanie generates a feeling of coziness and warmth.	12.99
https://i.imgur.com/j5sfCmP.jpg	Tommy Hilfiger Men's Ardin Dad Hat	Tommy Hilfiger hat featuring our iconic flag logo	19.99
https://i.imgur.com/MZZoQ7I.jpg	City Hunter W300 Premium Wool Solid Trapper Hats - Multi Colors	Premium Wool and Faux fur	14.99
https://i.imgur.com/DLlJacy.jpg	Bellady Women Solid Color Winter Hat 100% Wool Cloche Bucket with Bow Accent	100% wool vintage felt hat, normally wool felt has these features: highly resilient, cuts with a clean edge, does not ravel or fray, very nice feel in your hand	23.99
https://i.imgur.com/lz2BUx8.jpg	Cap-sac Fanny pack hat for your Head - Nylon Cap with Zipper Pocket and Adjustable Closure - Mens Hats/Womens Hats	Be the life of any 80s or 90s party!	19.99
https://i.imgur.com/sx1AnGN.jpg	VECRY Lady French Beret 100% Wool Beret Floral Dress Beanie Winter Hat	DESIGN: This Knitted French Beret. Simple and cozy, Wool and Angora surface knitting brim cuffed, soft fur lined.decorated floral,bow and Liffle fur.	21.87
https://i.imgur.com/0pZ4kBG.jpg	OTS NFL Adult Men's NFL Challenger Adjustable Hat	100% garment washed cotton twill for a soft, worn-in look and feel to go with the raised embroidered team graphics	22.00
https://i.imgur.com/u0Lk93C.jpg	Headache Hat - The Original Wearable Ice Pack for Migraine Headaches and Tension Relief - Regular Size	SOOTHING COMPRESSION - Experience instant and long-lasting cooling therapy for migraine headaches, head and neck tension, stress relief and more	39.99
https://i.imgur.com/uFrw870.jpg	e4Hats.com NASA Insignia Embroidered Pigment Dyed Cap - Navy OSFM	One size fits most with an adjustable buckle strap closure, fitting up to 7 1/2.	8.94
https://i.imgur.com/pb0Ux8w.jpg	MSA 475407 Natural Tan Skullgard Hard Hat with Fas-Trac Suspension	ANSI/ISEA Z89.1-2014 (Class G) Compliant, provides dielectric protection up to 2,200 volts.	79.25
https://i.imgur.com/yUlsVuk.jpg	i play. Flap Sun Protection Hat	100% Polyester; lining:100% Polyester	14.99
https://i.imgur.com/efwkgWi.jpg	Masters golf Hat green caddy style augusta national new 2019 masters pga	Authentic PGA collectible from American Needle	51.95
https://i.imgur.com/RZ2URoT.jpg	Custom Hat, Embroidered. Your Own Text. Adjustable Back. Curved Bill Many Colors	Curved Bill , Adjustable Back Closure Comfortable Fit,	19.95
